                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3299,                 19.002,                 1.7818,                0.08533,                0.02654,                0.04352,                0.01294,                 2.5297,                 43.182,                 1.2888,             0.00032381,             0.00032381,             0.00032381
                      2,                 2.4301,                 3.5289,                 1.2584,                 0.3625,                0.43624,                0.33268,                0.13621,                 2.1261,                 2.8775,                 1.1734,             0.00065281,             0.00065281,             0.00065281
                      3,                 2.1859,                 2.5242,                 1.1598,                0.16435,                 0.5191,                0.15027,                0.06078,                 2.0701,                    inf,                 1.1377,              0.0009774,              0.0009774,              0.0009774
                      4,                 2.0818,                  1.894,                 1.1288,                0.62637,                0.58787,                0.62154,                0.25436,                 2.0475,                 1.4997,                 1.1273,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.9954,                 1.6542,                 1.0999,                 0.7646,                0.56311,                0.71009,                0.29146,                 1.9022,                 1.7517,                 1.0678,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.9226,                 1.4929,                  1.097,                0.69923,                0.67801,                0.64688,                0.26398,                 1.9364,                 2.0308,                 1.0761,              0.0009736,              0.0009736,              0.0009736
                      7,                  1.894,                 1.3296,                 1.0779,                0.90612,                0.77064,                0.86569,                0.39671,                 1.8001,                 1.1308,                 1.0406,               0.000967,               0.000967,               0.000967
                      8,                 1.8996,                 1.2594,                 1.0951,                0.92462,                0.75538,                0.86433,                0.41532,                 1.7343,                 1.1013,                 1.0266,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.7696,                 1.1236,                 1.0366,                0.83393,                0.77705,                 0.8262,                0.38882,                 1.7664,                 1.1023,                 1.0296,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.7973,                 1.1101,                 1.0355,                0.78352,                0.76382,                0.73788,                0.35947,                 1.7145,                 1.3567,                  1.012,              0.0009472,              0.0009472,              0.0009472
